word,origin_class,confidence,source,tier
web,Germanic,0.9376,curated_seed,1
stream,Germanic,0.8958,curated_seed,1
ship,Germanic,0.8895,curated_seed,1
bug,Germanic,0.8241,curated_seed,1
board,Germanic,0.7547,curated_seed,1
craft,Germanic,0.6877,curated_seed,1
broadcast,Germanic,0.6473,curated_seed,1
cloud,Germanic,0.5799,curated_seed,1
barn,Germanic,0.5058,curated_seed,1
mouse,Germanic,0.4819,curated_seed,1
following,Germanic,0.9944,classifier_nltk,2
follow,Germanic,0.9874,classifier_nltk,2
working,Germanic,0.9869,classifier_nltk,2
hearing,Germanic,0.9851,classifier_nltk,2
stood,Germanic,0.9848,classifier_nltk,2
fell,Germanic,0.9826,classifier_nltk,2
told,Germanic,0.982,classifier_nltk,2
growing,Germanic,0.9815,classifier_nltk,2
felt,Germanic,0.9767,classifier_nltk,2
show,Germanic,0.9735,classifier_nltk,2
flow,Germanic,0.9732,classifier_nltk,2
forward,Germanic,0.9726,classifier_nltk,2
wore,Germanic,0.972,classifier_nltk,2
worked,Germanic,0.9719,classifier_nltk,2
left,Germanic,0.9701,classifier_nltk,2
slowly,Germanic,0.968,classifier_nltk,2
growth,Germanic,0.9647,classifier_nltk,2
build,Germanic,0.9646,classifier_nltk,2
whole,Germanic,0.964,classifier_nltk,2
forth,Germanic,0.964,classifier_nltk,2
waiting,Germanic,0.9611,classifier_nltk,2
willing,Germanic,0.9606,classifier_nltk,2
full,Germanic,0.9593,classifier_nltk,2
learned,Germanic,0.9578,classifier_nltk,2
wall,Germanic,0.9532,classifier_nltk,2
seeing,Germanic,0.9531,classifier_nltk,2
holding,Germanic,0.9513,classifier_nltk,2
bring,Germanic,0.9507,classifier_nltk,2
fighting,Germanic,0.9469,classifier_nltk,2
blood,Germanic,0.9453,classifier_nltk,2
fully,Germanic,0.9453,classifier_nltk,2
works,Germanic,0.9437,classifier_nltk,2
straight,Germanic,0.9409,classifier_nltk,2
watching,Germanic,0.939,classifier_nltk,2
grew,Germanic,0.9373,classifier_nltk,2
without,Germanic,0.9364,classifier_nltk,2
bright,Germanic,0.9364,classifier_nltk,2
slightly,Germanic,0.9335,classifier_nltk,2
writing,Germanic,0.9332,classifier_nltk,2
feeling,Germanic,0.9319,classifier_nltk,2
brought,Germanic,0.9284,classifier_nltk,2
leading,Germanic,0.9284,classifier_nltk,2
feel,Germanic,0.9255,classifier_nltk,2
building,Germanic,0.924,classifier_nltk,2
best,Germanic,0.9223,classifier_nltk,2
leaving,Germanic,0.9199,classifier_nltk,2
freedom,Germanic,0.9198,classifier_nltk,2
understanding,Germanic,0.9193,classifier_nltk,2
drew,Germanic,0.919,classifier_nltk,2
hardly,Germanic,0.9189,classifier_nltk,2
feed,Germanic,0.9175,classifier_nltk,2
looking,Germanic,0.9105,classifier_nltk,2
within,Germanic,0.9103,classifier_nltk,2
thinking,Germanic,0.9096,classifier_nltk,2
wrote,Germanic,0.9073,classifier_nltk,2
leadership,Germanic,0.9058,classifier_nltk,2
twice,Germanic,0.8991,classifier_nltk,2
built,Germanic,0.8985,classifier_nltk,2
early,Germanic,0.8983,classifier_nltk,2
watched,Germanic,0.8952,classifier_nltk,2
standing,Germanic,0.8878,classifier_nltk,2
nearly,Germanic,0.8865,classifier_nltk,2
