word,true_label,predicted_label,confidence
pyxis,Latin,Greek,0.9899
styptic,Latin,Greek,0.9895
phthisic,Germanic,Greek,0.9833
kasseri,Greek,Other,0.9821
theophilanthropy,Latin,Greek,0.9797
dis,Germanic,Greek,0.9789
gymnosophist,Latin,Greek,0.9778
metonymy,Latin,Greek,0.9769
cynism,Latin,Greek,0.976
banana,Other,Sanskrit,0.972
crest,Germanic,Latin,0.9717
euchologue,Latin,Greek,0.9706
ghutra,Other,Sanskrit,0.9704
acmeism,Other,Greek,0.9628
frail,PIE,Germanic,0.9524
event,PIE,Latin,0.9516
trance,Germanic,Latin,0.949
deceive,Germanic,Latin,0.9489
peradventure,Germanic,Latin,0.9429
koulouri,Greek,Other,0.9374
akasa,Sanskrit,Other,0.9301
khud,Sanskrit,Other,0.9274
stroma,Latin,Greek,0.9269
adventurous,Germanic,Latin,0.9267
ambition,Germanic,Latin,0.922
stater,Greek,PIE,0.9217
divert,Germanic,Latin,0.9216
controller,Germanic,Latin,0.9123
chancellor,Germanic,Latin,0.9077
allow,Latin,Germanic,0.9072
ayah,Sanskrit,Other,0.8961
orient,Greek,Latin,0.892
percase,Germanic,Latin,0.8886
saphenous,Other,Greek,0.8858
clear,Latin,Germanic,0.8851
brow,PIE,Germanic,0.8833
transmigration,Sanskrit,Latin,0.8788
draft,Latin,Germanic,0.8749
shadjam,Sanskrit,Other,0.8724
drangiana,Greek,Sanskrit,0.8724
automatous,Latin,Greek,0.8719
kamboj,Sanskrit,Other,0.8713
neva,Other,Sanskrit,0.8711
commodore,Germanic,Latin,0.867
fakelaki,Greek,Other,0.8667
savanna,Other,Sanskrit,0.8637
entrail,Germanic,Latin,0.8607
colour,Germanic,Latin,0.8604
orchidectomy,Latin,Greek,0.8601
advent,PIE,Latin,0.8568
kathak,Sanskrit,Other,0.8517
yatta,Other,Sanskrit,0.8452
lusophone,Latin,Greek,0.8449
cupboard,Germanic,Latin,0.8433
manhwa,Other,Sanskrit,0.8422
lambada,Latin,Sanskrit,0.838
planet,Greek,Latin,0.828
revolve,Germanic,Latin,0.8264
musophobia,Latin,Greek,0.8224
automatize,Latin,Greek,0.8137
mindfulness,Sanskrit,Germanic,0.8097
chord,Greek,Germanic,0.8083
phinehas,Other,Greek,0.7992
kesa,Sanskrit,Other,0.7977
protoplasm,Germanic,Greek,0.7971
adipic,Latin,Greek,0.7964
mendicant,Sanskrit,Latin,0.7943
sinister,Germanic,Latin,0.7937
foreclose,Germanic,Latin,0.7754
lobster,Germanic,Latin,0.7723
katara,Sanskrit,Other,0.7717
drone,Germanic,Greek,0.7716
ketu,Sanskrit,Other,0.771
batman,Other,Sanskrit,0.7701
merle,Latin,Germanic,0.7621
galosh,Germanic,Other,0.7606
practice,Greek,Latin,0.7598
agatha,Greek,Sanskrit,0.7594
humility,Germanic,Latin,0.7541
loukoumi,Greek,Other,0.7513
