word,origin_class,x_old,y_old,x_new,y_new,drift_score
stream,Germanic,8.118383,7.444736,8.084304,7.886152,0.548484
web,Germanic,9.077238,7.367797,9.630174,9.064394,0.770459
ship,Germanic,9.171871,6.561475,8.114725,6.350961,0.532427
cloud,Germanic,7.41932,7.039568,7.79368,7.037346,0.643149
barn,Germanic,9.973886,7.856313,6.928966,9.288661,0.440936
mouse,Germanic,7.880669,10.058728,8.137227,8.972509,0.687218
board,Germanic,9.480347,6.643406,10.157938,7.784303,0.73159
craft,Germanic,9.348886,6.638868,7.745739,6.369562,0.820716
following,Germanic,10.911819,10.821123,11.83209,7.505122,0.667744
without,Germanic,8.905937,7.507973,8.819062,7.88627,0.499989
feeling,Germanic,8.873503,10.181186,9.081411,10.270894,0.530895
bring,Germanic,9.908134,12.007218,9.913154,11.996269,0.1673
brought,Germanic,9.87219,12.024541,10.160419,11.748692,0.423009
stood,Germanic,9.116824,8.414355,10.011771,11.434595,0.633095
going,Germanic,9.691592,11.844307,9.981418,11.590602,0.473046
within,Germanic,8.805235,7.658117,9.465746,7.50014,0.570792
best,Germanic,9.552149,10.733482,9.730729,10.765335,0.606338
looking,Germanic,8.724575,9.291095,9.957864,11.378203,0.666671
group,Germanic,11.079201,7.998563,11.250875,8.312849,0.505765
whole,Germanic,9.367994,7.543656,9.288548,7.616351,0.21985
hundred,Germanic,10.851077,6.971352,11.387971,7.027659,0.628705
early,Germanic,7.150862,6.487082,11.97727,7.939291,0.554186
told,Germanic,9.399755,11.953923,9.425179,11.612051,0.377792
energy,Greek,11.086999,8.982374,8.163545,7.329022,0.776608
atom,Greek,9.20892,8.06135,8.276679,7.035047,0.701348
organ,Greek,7.565069,7.504496,8.414376,9.761309,0.697715
sympathetic,Greek,11.392813,9.136981,9.159742,10.725976,0.771774
poetic,Greek,11.138979,8.897212,10.27139,9.467216,0.795887
diplomatic,Greek,11.500171,8.815658,9.961951,6.694523,0.806533
axis,Greek,8.756085,7.058919,8.088389,6.882415,0.653654
magnetic,Greek,9.756862,8.680528,8.079009,7.038654,0.741405
historian,Greek,11.096745,10.075573,10.027008,9.660007,0.638651
psychological,Greek,11.732699,9.37927,9.946569,10.106895,0.665371
historical,Greek,11.643863,9.602383,10.267559,9.367607,0.61996
basis,Greek,11.337192,9.363564,11.304206,9.254319,0.508685
goes,Greek,9.749276,11.657348,9.88188,11.602159,0.481406
culture,Latin,11.227359,8.930091,10.582279,8.880776,0.593324
journal,Latin,10.807498,10.605666,9.804893,9.400815,0.680818
text,Latin,10.90907,10.448049,10.081737,9.504382,0.545833
cell,Latin,9.528868,8.528512,8.096022,8.583192,0.630956
cabinet,Latin,9.589153,8.582045,10.137918,8.074742,0.833229
monitor,Latin,10.859831,9.752853,9.031687,8.970801,0.848478
tablet,Latin,10.723483,10.174358,9.92402,9.138192,0.556261
information,Latin,11.04772,9.904935,10.566373,9.409967,0.491198
recent,Latin,11.823063,8.350718,11.905231,7.678031,0.879094
county,Latin,10.575571,7.554821,10.376263,7.771551,0.520769
city,Latin,10.406101,7.635132,10.584613,7.906374,0.348221
religious,Latin,11.260208,8.814149,10.334797,9.386607,0.509847
secretary,Latin,8.298272,10.772755,10.303663,8.164051,0.686056
development,Latin,11.520633,9.101812,10.678619,8.417072,0.645754
several,Latin,11.23748,7.204819,11.581098,7.272532,0.482582
department,Latin,10.697453,7.75932,10.484097,8.196487,0.637848
equipment,Latin,11.344617,8.540042,9.318053,8.634444,0.794063
different,Latin,12.087244,8.793973,11.437675,7.595272,0.563217
important,Latin,11.988084,9.171144,12.176367,8.850356,0.536081
national,Latin,10.997419,7.834247,10.629745,7.471236,0.764361
evidence,Latin,11.125646,9.69783,10.971468,9.592521,0.641178
coffee,Other,7.037779,8.384988,6.8256,8.989127,0.538487
candy,Other,9.998102,7.230441,6.959427,9.056308,0.76109
magazine,Other,11.100029,10.319812,9.382277,9.510919,0.790692
sugar,Other,7.156821,8.565794,6.99621,8.864883,0.585444
new,PIE,11.962626,8.245344,11.621122,8.145357,0.571625
night,PIE,7.417558,6.605867,7.025748,6.911901,0.155061
heart,PIE,8.587213,9.962637,8.493525,9.893271,0.234171
eye,PIE,8.017999,9.044342,7.960325,8.990433,0.219847
star,PIE,7.281644,7.097588,7.207229,7.149755,0.20375
father,PIE,8.594698,11.081634,8.6644,11.001876,0.110916
mother,PIE,8.589923,11.130202,8.45153,11.006349,0.097227
three,PIE,10.992827,7.171603,11.473116,7.09072,0.492817
name,PIE,10.351857,10.717409,10.682214,10.68864,0.227493
water,PIE,7.771515,7.641994,7.677997,7.757506,0.16426
wide,PIE,9.058389,7.899098,9.353459,7.970938,0.467459
wind,PIE,7.575978,6.761706,7.769627,6.877116,0.162889
ear,PIE,8.210201,9.36474,7.823093,9.198657,0.606294
deep,PIE,8.409895,7.8499,8.302526,7.91721,0.190604
